0,1,2,0,1,2,3,4,5,6,7,8,9,10
扬尼斯-阿德托昆博,雄鹿,,1,32.6,12.70-20.80,61%,0.20-0.70,22.2%,7.00-11.40,61.4%,25,35.0,
谢伊-吉尔杰斯-亚历山大,雷霆,,2,31.3,11.10-21.00,52.8%,2.20-6.20,35%,7.00-7.90,87.8%,32,34.5,
尼古拉-约基奇,掘金,,3,30.7,11.70-20.80,56.1%,2.20-4.60,49.2%,5.10-6.40,80.1%,29,36.9,
杰森-塔特姆,凯尔特人,,4,28.3,9.30-20.00,46.6%,3.90-10.50,36.9%,5.80-7.20,79.7%,30,36.3,
达龙-福克斯,国王,,5,26.8,9.90-20.20,49.2%,2.10-6.30,32.9%,4.80-6.00,80.4%,34,37.2,
安东尼-戴维斯,湖人,,6,26.1,9.50-18.00,52.7%,0.70-2.20,32.4%,6.40-8.30,77.7%,31,34.7,
泰雷斯-马克西,76人,,7,25.9,9.00-21.20,42.3%,3.20-9.50,34%,4.80-5.70,83.8%,25,37.4,
维克托·文班亚马,马刺,,8,25.6,9.20-19.10,48%,3.30-9.40,35.5%,3.90-4.40,87.9%,28,32.9,
杰伦-布伦森,尼克斯,,9,25.2,8.60-17.80,48.3%,2.50-6.20,40.3%,5.60-6.80,82.5%,33,34.9,
达米安-利拉德,雄鹿,,9,25.2,7.70-17.50,44%,3.40-9.30,36.8%,6.30-6.90,92.1%,24,36.3,
卡尔-安东尼-唐斯,尼克斯,,11,24.9,8.90-16.20,54.8%,2.20-5.00,44%,4.90-5.90,83.6%,32,34.3,
安东尼-爱德华兹,森林狼,,12,24.8,8.80-19.90,44.3%,4.00-9.70,41.5%,3.10-3.80,81.1%,32,36.1,
德文-布克,太阳,,13,24.7,7.80-18.20,42.9%,2.60-7.70,34.1%,6.50-7.20,90.2%,27,36.3,
杰伦-布朗,凯尔特人,,14,24.4,9.00-19.40,46.1%,2.30-7.00,33.2%,4.10-5.60,73.4%,28,35.4,
弗朗茨-瓦格纳,魔术,,14,24.4,8.80-18.90,46.5%,2.00-6.40,32.1%,4.80-5.40,88.1%,25,33.2,
泰勒-希罗,热火,,16,24.3,8.40-17.60,47.7%,4.00-9.70,41%,3.50-4.10,85%,31,35.3,
