二七万达楼下精装主卧带独卫 楼下地铁口 二七万达 二院可月付,3,1,20,合租,300,erqi
升龙世纪花园二区朝南卧室带阳台有暖气,3,2,25,合租,450,erqi
房冬直租 二七万达 京广快速路 百荣世贸附近 万科大都会,3,2,128,整租,1200,erqi
出租 二七万达附近 齐礼闫地铁口精装三室两厅一卫,3,2,115,整租,2200,erqi
升龙国际朝阳小单间 短租可月付 紧邻鼎盛时代 二七万达市二院,2,2,30,合租,500,erqi
甩租，旭辉佳苑免，押金，免押金，可押一付一，可短租，可月付，,3,1,30,合租,450,erqi
可短租 可月付 公寓直租无中介 二七万达旁3km 泰宏建业国,1,1,36,整租,999,erqi
可短租 可月付 万达旁 航海路  大学路嵩山路 地铁口,2,2,90,整租,1800,erqi
无中介佛岗新居三期 精装标间 黄科大 橄榄城新公馆 铭汇广场,1,1,40,整租,999,erqi
月付可短租免押金，京广南路地铁口，第六人民医院，主卧大阳台,3,1,20,合租,500,erqi
南四环京广路 百荣附近 精装一室一厅 房东直租 无中介,1,1,65,整租,899,erqi
房东直签无中介 南三环 大学南路 客运南站 四十八中loft,1,1,40,整租,1000,erqi
冯庄地铁口 航海广场AB座国际鞋城 图实拍摄 无中介随时看房,3,2,30,合租,600,erqi
若注定是过客，何必去惊扰一盏灯光,2,2,25,合租,300,erqi
合租主卧 精装修 二七万达 东方大厦 押一付一可月付,3,2,30,合租,600,erqi
荆胡村五号院 2室1厅1卫 1150.0元 电梯房 精装修,2,1,72,整租,1150,erqi
临五号线冯庄地铁口 正商航海广场 电梯房 民水民电拎包入住,3,1,35,合租,400,erqi
新上 亚星城市山水三室两厅 出租,3,2,131,整租,2500,erqi
月付可短租免押金，京广南路地铁口，第六人民医院，主卧大阳台,3,1,20,合租,500,erqi
精装修拎包入住。两梯两户，近冯庄地铁口，航海广场，随时看房,3,1,30,合租,500,erqi
正商城泰园2号院 2室1厅1卫 35平 配套齐全 南北通透,2,1,35,合租,500,erqi
冯庄地铁口 航海广场AB座国际鞋城 图实拍摄 无中介随时看房,2,1,30,合租,500,erqi
二七万达市二院地铁口 精装三室单间 可短租月付无杂费 拎包住,3,1,20,合租,600,erqi
升龙国际c区精装主卧带阳台出租可短租三个月以上,3,1,25,合租,500,erqi
月租，短租，押一付一无物业费，二七万达广场万千公寓，富华花苑,2,2,27,合租,380,erqi
急租主卧阳台带独卫 近二七万达 精装修 可短租月付 实图实价,3,2,33,合租,600,erqi
朝南阳光房 二七万达金街 大学路航海路 五号线地铁口 无杂费,3,2,25,合租,599,erqi
两室合租 押一付一 精装修单间 临近地铁 飘窗次卧 拎包入住,2,2,35,合租,600,erqi
都说男人膝下有黄金，我快把皮搓掉了，连块铁也没找着！,3,2,25,合租,350,erqi
南四环京广路百荣世贸附近 精装一室一厅,1,1,68,整租,899,erqi
整租一室一厅 出门就是地铁口，家电齐全可当天拎包入住,1,0,42,整租,899,erqi
大学路政通路 升龙国际 升龙天禧 陈寨花卉 大润发 二七万达,3,1,89,合租,650,erqi
鑫家盛世园丨榕江路丨锦绣山河丨奥马广场,3,2,128,整租,1500,erqi
房租月付 航海广场AB座200米 精装修合租单间,3,2,138.2,合租,520,erqi
江南戎居 芙蓉花苑 汇景嘉园 鸿雁小区 金成中医风湿病医院,4,1,28,合租,500,erqi
