富田太阳城 富田新天地 一站购物广场 可押一付一 精装修,2,2,34,合租,450,guancheng
美景鸿城七里河地铁口2室1厅1卫福塔东两室一厅,2,1,65,整租,1550,guancheng
便宜出租富田新天地商场 富田太阳城主卧带卫生间带阳台押一付一,3,2,30,合租,500,guancheng
双气房 短租房 整租  凤凰台地铁口 环球大厦  随时看房,1,1,39.8,整租,1500,guancheng
城东南路地铁口 3户合租朝南带飘窗大单间 押一付一,3,2,50,合租,400,guancheng
主卧阳台次卧飘窗可押一付一可做饭民用水电可短租可长租无中介费,2,1,22,合租,510,guancheng
房东直租 精装标间  拎包入住  随时看房,1,0,35,整租,900,guancheng
短租两个月 主卧带卫生间 押一付一 南五里堡地铁口 鑫泰大厦,3,2,30,合租,650,guancheng
个人，押一付一可短租有地暖wifi能做饭美景鸿城七里河地铁口,3,1,18,合租,399,guancheng
房冬直租 站马屯地铁口 精装修两室随时看房拎包入住,2,2,65,整租,1550,guancheng
二里岗地铁口 环形阳台 实拍 双气 蓝海广场 鑫泰大厦 独卫,3,2,30,合租,899,guancheng
御玺大厦 恒泰国际 十二兽 未来城 押一付一 博览中心地铁站,1,1,43.9,整租,1400,guancheng
押一付一 免中介费 富田太阳城 金盾未来花园 温馨单间 家电,3,2,25,合租,520,guancheng
房冬直租 站马屯地铁口 精装修两室随时看房拎包入住,2,2,65,整租,1500,guancheng
橡树玫瑰城 逸泉小区 整租大标间 押一付一 带阳台 拎包入住,1,1,45,整租,900,guancheng
航海广场旁。正商新蓝钻E区。双气2居。户型好还朝南。,2,2,83,整租,1800,guancheng
押一付一 无中介费 财税学院旁 云时代广场 紫英佳苑 全女,3,2,25,合租,550,guancheng
急租 正商新蓝钻E区 3室2厅2卫 电梯房 25平 配套齐全,3,2,25,合租,300,guancheng
房冬直租 站马屯地铁口 精装修两室随时看房拎包入住,2,2,65,整租,1450,guancheng
南三环 中州城百合园 精装小两室 有电梯 房东直签 拎包入住,2,1,60,整租,1400,guancheng
可月付短租 精装主卧带阳台 全女生 金城国贸 新世界百货,2,1,30,合租,450,guancheng
二七广场地铁口 德化街 万象城对面 大卫城 精装两室特价出租,2,1,80,整租,1200,guancheng
南三环 财税学校旁紫英佳苑精装次卧朝南带飘窗 有无线网,3,1,25,合租,500,guancheng
未来路  航海广场  地铁口  家具齐全 拎包入住,1,1,50,整租,1450,guancheng
5号线航海广场站地铁口 发展南郡一室一厅 拎包入住 南北通透,1,1,40,整租,900,guancheng
城东南路地铁口 正商幸福港湾D区 单间出租 大阳台,3,1,20,合租,600,guancheng
实拍房间图片可短租可长租压一付一无中介费随时看房,3,2,20,合租,430,guancheng
南三环 边户 精装loft整租 可两室 和朋友合租了看过来,1,1,40.3,整租,1400,guancheng
朝南双气 可短租月付 绿都广场 御玺大厦 环球大厦 3号线站,1,1,43.9,整租,1500,guancheng
七里河地铁口 朝南带阳台 真实图片押一付一 看房随时,3,2,50,合租,500,guancheng
地铁口整租精装修两房 管城奥兰和园人车分流小区,2,2,87,整租,2399,guancheng
短租 月付 无中介费 全女生 通讯新天地 大观国贸 豫泰商夏,2,1,30,合租,500,guancheng
全女生单间出租美林河畔七里河地铁口500可定精装修可押一付一,3,2,20,合租,500,guancheng
月付可短租橡树玫瑰 云时代广场旁紫东河 安康达公馆 整租一室,1,0,35,整租,900,guancheng
陇海东路地铁口 全女电梯房 超大空间 大润发 正商蓝海广场,3,2,35,合租,700,guancheng
押一付一南关街银基锦荣通讯新天地 实图实价钱塘大厦拎包入住,2,2,30,合租,500,guancheng
富田太阳城 押一付一 婚房出租 富田新天地 精装修 有热水,3,2,20,合租,450,guancheng
3号线文庙地铁口 商代遗址 玉玺大厦 康桥花园 500单间,3,2,28,合租,500,guancheng
可短租 押一付一 东大街地铁 全女生 兴达国贸裕鸿国际 银基,3,1,28,合租,500,guancheng
直租 独立卫浴 精装修 中原福塔旁 电梯 实墙 七里河,3,2,31,合租,500,guancheng
全女生 蓝钻C区 精装主卧 正商国际 福都购物 家电齐全,3,2,30,合租,600,guancheng
可短租 可月付 阳光城 橡树玫瑰城 一室一厅 真实图片包物业,1,1,45,整租,900,guancheng
主卧独卫 特价出租 南五里堡地铁站 紫金悦城 家电齐全,4,2,28,合租,650,guancheng
南五里堡地铁口 直租朝阳主卧带阳台 河南文化大厦 随时看房,3,1,26,合租,599,guancheng
七里河地铁口，美景龙堂旁，主卧独卫，次卧阳台 空调 暖气个人,3,2,30,合租,500,guancheng
地铁口 精装主卧独卫 特价甩租 无杂费 双气可做饭 随时看房,2,1,30,合租,500,guancheng
可短租月付 5号线城东南路地铁口 幸福港湾D区精装主卧独卫,3,2,30,合租,600,guancheng
不合租，整租一室，房东直签可押一付一紧邻商圈家电齐全随时看房,1,0,36,整租,800,guancheng
全女士合租 城东南路地铁口 两室招合租 可月付短租 拎包入住,2,2,35,合租,500,guancheng
朝南主卧500一间 地铁口 交通便利 实图实价 双气 随时看,2,1,26,合租,500,guancheng
无中介费 正商蓝钻 航海广场地铁口 朝南大壁柜 全女生电梯房,3,2,25,合租,500,guancheng
27广场 西大街，紫金山，大卫城，万象城。银基批发市场,1,1,35,整租,1000,guancheng
直租直租 免押金 拎包入住,3,2,30,合租,500,guancheng
性价比巨高！整租一室一厅月租800！紧邻二七广场大卫城附近,1,1,39,整租,800,guancheng
一室一厨一卫 押一付一 富田太阳城 精装修 家电齐全随时看房,1,1,45,整租,900,guancheng
不合租！二七广场东西大街地铁口，整租一室一厅家电齐全押一付一,1,1,39,整租,800,guancheng
800包物业！整租一室一厅家电齐全紧邻二七广场 东大街地铁口,1,1,39,整租,800,guancheng
房东直签！押一付一整租一室一厅 紧邻二七商圈大卫城可拎包入住,1,1,39,整租,800,guancheng
可短租 富田太阳城 带阳台 精装标间 超阳户型 家电齐全,1,1,60,整租,900,guancheng
地铁口整租精装修两房 管城奥兰和园人车分流小区,2,2,87,整租,2399,guancheng
西大街地铁口二七广场亚细亚东大街地铁口 郑州市第一人民医院,1,1,52,整租,800,guancheng
正商国际广场 福都百货超市 正商C区 主卧独卫 房租月付,3,2,30,合租,700,guancheng
一楼精装修押一付一 法院西街 西大街地铁口 家电齐全 可短租,2,1,52,整租,1450,guancheng
个人，月付可短租有wifi暖气朝南带大阳台 七里河站双地铁口,3,1,30,合租,599,guancheng
石化路 铁道新景苑 主卧独卫，次卧带阳台，可月付 双气 个人,3,2,29,合租,500,guancheng
