二大街福塔地铁口 阳光名仕广场标间 随时入住无中介费,1,1,34.4,整租,1100,jingkai
（真实新上）海珀兰轩 各种精美主次卧 高途七院旁 月付,3,2,20,合租,700,jingkai
丹尼斯旁 阳光城檀悦 中原福塔地铁旁 高途 华美龙大厦,3,2,25,合租,450,jingkai
可短租可月付 第七人民医院 高徒旁 郑安花园随时看房领包入住,3,1,30,合租,400,jingkai
安图旁金尊文苑出租次卧带壁柜精装，可做饭干净整洁 月付,3,2,25,合租,450,jingkai
经开第五大街乐尚购物中心隔壁加州第一城主卧独卫随时看房,4,1,25,合租,850,jingkai
可月付 七大街新宇花园 富士康旁 精装主卧 无中介实图拍摄,4,2,25,合租,450,jingkai
纯白系列样板间！3900南北通透三室，华润紫云府正商和谐大厦,3,2,99,整租,3900,jingkai
落地窗大三房 全屋射灯带飘窗 华润紫云府 来电免物业费 东站,3,2,126,整租,3500,jingkai
中建七局隔壁3号线地铁口滨河铭筑朝南有暖气的大标间,1,1,39,整租,1100,jingkai
特价 精美单间给钱就租阳光城檀悦 高途课堂 华美龙大厦丹尼斯,3,2,19,合租,500,jingkai
可短租月付无中介 一大街 亚太新宇 朝南主卧带阳台 随时可看,3,2,20,合租,380,jingkai
八大街正商广场 财富广场旁富士康附近 公安局家属院 月付干净,3,2,25,合租,500,jingkai
丰之元高途七院福塔东地铁口 美景芳华精装一室一厅家电齐无中介,1,1,45,整租,1400,jingkai
短租 特价甩租恒大绿洲 临近郑煤机富士康精美单间 月付无中介,3,2,28,合租,350,jingkai
经开13大街精装两室 临郑煤机 东风日产  燃气已通随时看房,2,1,60,整租,1400,jingkai
房东急租只有房租水电租期灵活住多久签多久资金困难可月付房租,3,1,25,合租,500,jingkai
福塔东地铁口 盛华里购物中心 高途课堂 丹尼斯旁押一付一月付,3,1,25,合租,500,jingkai
富士康 经开广场郑煤机附近七大街 长盛广场一室一厅特价出租,1,1,60,整租,1500,jingkai
宏光合园，一室一厅，价格优美先到先得,2,2,40,合租,1300,jingkai
业主直签 无中介费 实拍 3号线地铁 随时看房 近中建七局,1,1,37,整租,1100,jingkai
低价出租短租长租押一付一可做饭民用水电随时看房拎包入住,3,1,25,合租,420,jingkai
瑞锦小区竹林苑 2室1厅1卫 南北通透 配套齐全 电梯房,2,1,60,整租,1400,jingkai
七大街富士康附近 新宇花园 海馨苑 可月付短租干净实图拎包住,3,2,28,合租,450,jingkai
竹林苑 双气已通 房东自住装修 跟房东签合同 随时看房,2,1,60,整租,1400,jingkai
郑煤机百事露露精装主卧独卫月付家电全新民水民电非中介有电梯,3,2,30,合租,500,jingkai
可短租月付 宏光合园 楼下就是五号线地铁口 八大街富士康,3,1,38,合租,500,jingkai
年底特价免住三天康桥公寓地铁3号线精装复式月付家电齐全随时看,1,1,33,整租,1000,jingkai
富士康旁 海馨苑 可短租无中介无杂费 家具齐全 有厨房可做饭,2,1,26,合租,400,jingkai
可短租月付无中介 郑东商业中心骨科医院富士康旁 长盛广场,1,1,35,整租,1100,jingkai
无中介费可月付短租，七院高徒旁 12号线地铁口一室 免费停车,2,1,25,合租,700,jingkai
五大街富田九鼎世家朝南主卧带飘窗押一付一精装修盛华里福塔东旁,3,1,30,合租,650,jingkai
浩创优尚 密码锁 精装修 标间 采光好,1,1,32,整租,1200,jingkai
康桥领仕馆 公寓标间 年底特价租 配套齐全,1,1,33.6,整租,999,jingkai
可短租月付无中介 六大街乐尚旁 主卧带独卫 家电齐全 随时看,3,2,28,合租,380,jingkai
可短租可月付 高徒七院旁 阳光城檀悦 拎包入住 随时看房,3,1,19,合租,500,jingkai
五大街 万锦嘉园 精装单间 全女生合租 盛华里 福塔东可月付,3,1,24.8,合租,600,jingkai
可短租 可月付 亚太明珠 近高途 七院 丹尼斯福塔地铁口,3,2,20,合租,900,jingkai
石墙带阳台房间干净整洁 石墙价格便宜能月付 可电话联系看房,3,2,28,合租,450,jingkai
福塔旁 亚太明珠 精装次卧，干净整洁，新空调，无杂费租期灵活,3,2,20,合租,500,jingkai
