0,1,2,0,1,2,3,4,5,6,7,8,9,10
乔尔-恩比德,76人,,1,35.0,11.70-21.80,53.6%,1.20-3.20,36%,10.50-11.90,88.6%,31,34.2,
卢卡-东契奇,独行侠,,2,33.6,11.40-23.50,48.5%,3.90-10.40,37.6%,6.80-8.70,77.8%,35,36.8,
扬尼斯-阿德托昆博,雄鹿,,3,31.2,11.60-19.00,60.9%,0.40-1.70,23.2%,7.70-11.50,66.9%,40,35.2,
谢伊-吉尔杰斯-亚历山大,雷霆,,4,31.1,11.00-20.10,54.9%,1.10-3.40,32.6%,7.90-8.90,89.3%,41,34.5,
凯文-杜兰特,太阳,,5,28.9,10.10-19.30,52.5%,2.20-4.70,46.6%,6.40-7.30,88.3%,34,36.9,
达龙-福克斯,国王,,6,27.9,9.90-21.10,46.8%,3.30-8.20,39.7%,4.90-6.80,71.7%,35,35.6,
多诺万-米切尔,骑士,,7,27.8,9.70-20.90,46.1%,3.10-8.90,34.8%,5.40-6.20,88%,31,35.6,
德文-布克,太阳,,8,27.0,9.30-19.10,48.9%,2.10-5.60,38%,6.20-7.00,89.2%,32,36.0,
特雷-杨,老鹰,,9,26.9,8.30-19.70,42.2%,3.30-9.00,36.4%,7.00-8.10,85.8%,39,36.3,
杰森-塔特姆,凯尔特人,,9,26.9,9.20-19.40,47.2%,3.10-8.40,36.7%,5.50-6.80,81.2%,39,35.8,
斯蒂芬-库里,勇士,,11,26.7,8.50-19.00,44.6%,4.50-11.40,39.7%,5.30-5.70,92.4%,37,33.2,
杰伦-布伦森,尼克斯,,12,26.5,9.30-19.60,47.5%,2.80-6.70,42.7%,5.10-6.10,83.1%,41,35.8,
泰雷斯-马克西,76人,,13,26.0,8.90-19.90,44.8%,3.20-8.30,37.8%,5.00-5.80,85.8%,40,37.6,
安东尼-爱德华兹,森林狼,,14,25.9,8.90-19.20,46.7%,2.40-6.40,37.9%,5.60-6.70,83.8%,39,34.8,
尼古拉-约基奇,掘金,,15,25.7,10.10-17.20,58.3%,1.00-2.90,35%,4.60-5.60,82.1%,42,33.5,
达米安-利拉德,雄鹿,,16,25.5,7.50-17.40,43.1%,3.00-8.60,35.5%,7.40-8.00,92.3%,39,35.2,
安东尼-戴维斯,湖人,,17,25.2,9.50-17.10,55.7%,0.30-1.10,31.8%,5.80-7.20,81%,41,36.1,
勒布朗-詹姆斯,湖人,,18,24.7,9.30-17.90,52%,2.10-5.40,39.2%,4.00-5.50,73.2%,39,34.4,
德斯蒙德-贝恩,灰熊,,19,24.4,8.90-18.80,47.4%,3.30-8.60,38.4%,3.30-3.80,86.4%,37,34.5,
朱利叶斯-兰德尔,尼克斯,,20,24.1,8.70-18.30,47.2%,1.60-5.40,30%,5.20-6.70,77.1%,43,35.6,
劳里-马尔卡宁,爵士,,20,24.1,8.00-16.00,49.8%,3.20-7.90,39.8%,5.00-5.70,87.7%,33,32.5,
