乔尔-恩比德,76人,
卢卡-东契奇,独行侠,
扬尼斯-阿德托昆博,雄鹿,
谢伊-吉尔杰斯-亚历山大,雷霆,
凯文-杜兰特,太阳,
达龙-福克斯,国王,
多诺万-米切尔,骑士,
德文-布克,太阳,
特雷-杨,老鹰,
杰森-塔特姆,凯尔特人,
斯蒂芬-库里,勇士,
杰伦-布伦森,尼克斯,
泰雷斯-马克西,76人,
安东尼-爱德华兹,森林狼,
尼古拉-约基奇,掘金,
达米安-利拉德,雄鹿,
安东尼-戴维斯,湖人,
勒布朗-詹姆斯,湖人,
德斯蒙德-贝恩,灰熊,
朱利叶斯-兰德尔,尼克斯,
劳里-马尔卡宁,爵士,
保罗-乔治,快船,
科怀-伦纳德,快船,
泰雷斯-哈利伯顿,步行者,
特里-罗齐尔,黄蜂,
杰伦-布朗,凯尔特人,
凯德-坎宁安,活塞,
保罗-班切罗,魔术,
蔡恩-威廉森,鹈鹕,
凯尔-库兹马,奇才,
德马尔-德罗赞,公牛,
杰拉米-格兰特,开拓者,
小贾伦-杰克逊,灰熊,
卡尔-安东尼-唐斯,森林狼,
阿尔佩伦-申京,火箭,
布兰登-英格拉姆,鹈鹕,
巴姆-阿德巴约,热火,
米卡尔-布里奇斯,篮网,
德章泰-默里,老鹰,
弗朗茨-瓦格纳,魔术,
卡梅伦-托马斯,篮网,
迈尔斯-布里奇斯,黄蜂,
多曼塔斯-萨博尼斯,国王,
斯科蒂-巴恩斯,猛龙,
维克托·文班亚马,马刺,
克里斯塔普斯-波尔津吉斯,凯尔特人,
杰伦-威廉姆斯,雷霆,
科比-怀特,公牛,
小蒂姆-哈达威,独行侠,
乔丹-克拉克森,爵士,
