可短租 押一付一 荥阳八小旁 吾悦广场附近 质感三房两卫,3,2,123,整租,1300,xingyang
地铁口200米 豪装 质感婚房 郑西一中陪读 大中原汽车城旁,2,2,89,整租,1300,xingyang
碧桂园龙城熙园 3室2厅2卫 1500.0元 电梯房,3,2,122,整租,1500,xingyang
光明索河湾一期 2室2厅1卫 1100.0元 电梯房 精装修,2,2,93,整租,1100,xingyang
东润玺城二期中原路龙湖一中陪读,3,1,103,整租,1100,xingyang
大溪地5号院 2室2厅1卫 1100.0元 电梯房,2,2,91,整租,1100,xingyang
金龙紫东郡 2室2厅1卫 1200.0元 电梯房,2,2,87,整租,1200,xingyang
四个空调 三房两厅两卫 碧桂园龙城星荟 可以办公也可自住,3,2,123.5,整租,1100,xingyang
碧桂园龙城幸福里 3室2厅1卫 1300.0元 电梯房,3,2,95,整租,1400,xingyang
豪布斯卡旁 可以短租 可以押一付一 长租价位可谈,1,0,37,整租,900,xingyang
冯寨社区 3室2厅2卫 1200.0元 电梯房 精装修,3,2,127,整租,1200,xingyang
1.小.一.中.附近 天然气拎包入住,3,1,106,整租,700,xingyang
碧桂园芷兰湾小三室拎包入住出租,3,2,103,整租,1200,xingyang
昌煜豫龙之春 1室1厅1卫 900.0元 电梯房 精装修,1,1,54,整租,900,xingyang
押一付一 暖气免费用 自住婚房 有点温馨 大中原汽车城旁,3,2,87,整租,1000,xingyang
碧桂园芷兰湾小三室拎包入住出租,3,2,104,整租,1100,xingyang
一个月起租 押一付一 500 大中原汽车城旁 中原西路地铁口,3,2,18,合租,500,xingyang
押一付一！！！海龙时代名都 豪布斯卡附近 精装一室 拎包入住,1,0,30,整租,900,xingyang
大溪地10号院 3室2厅2卫 电梯房 精装修 南北通透,3,2,127,整租,1400,xingyang
新房大中原汽车城旁 信息工程学院旁 龙湖一中陪读 中原西路,3,2,98,整租,1100,xingyang
吾悦广场附近 豪布斯卡旁边 精装一室家具家电齐全，拎包入住入,1,1,40,整租,800,xingyang
碧桂园芷兰湾二室二厅一卫拎包入住出租,2,2,83,整租,1000,xingyang
东方盛典50平南户民水民电拎包入户价格可谈,1,1,50,整租,950,xingyang
大溪地15号院 2室1厅1卫 1050.0元 电梯房,2,1,78,整租,1050,xingyang
郑职院旁 牡丹路小学对面 新城尚郡三室两厅1000,3,2,92,整租,1000,xingyang
碧桂园芷兰湾143平复式出租,3,2,143,整租,1200,xingyang
八小 五幼隔壁 蒋寨社区 精装三房 手次出租 设施配齐 随看,3,2,121,整租,1300,xingyang
新房子 第一次出租 五期 挨着商隐路小学 押一付一 吾悦广场,3,2,93,整租,1000,xingyang
有暖气 第一次出租 大中原汽车城附近 大溪地11号院,3,2,116,整租,1200,xingyang
正上豪布斯卡(荥阳) 1室1厅1卫 1000.0元 电梯房,1,1,50,整租,1000,xingyang
西区双气电梯 ！！小两室 家具齐全 拎包入住,2,2,80,整租,750,xingyang
海龙时代明都 1室1厅1卫 800.0元 电梯房 精装修,1,1,40,整租,800,xingyang
新田城书香苑54平一室一厅拎包入住出租,1,1,54,整租,1000,xingyang
鑫龙佳苑 2室2厅1卫 1000.0元 电梯房 精装修,2,2,90,整租,1000,xingyang
忆江南度假区05区龙心园 1室1厅1卫 600.0元,1,1,58,整租,600,xingyang
豫龙镇二十里铺单间出租带阳台 郑州职业技术学院吾悦广场附近,4,1,30,合租,400,xingyang
大溪地十号院全新装修，采光好，南北通透,3,2,137.8,整租,1400,xingyang
光明索河湾一期 2室2厅1卫 1100.0元 电梯房,2,2,94,整租,1100,xingyang
大溪地十号院临地铁中原路郑西一中佩服,2,1,86,整租,1000,xingyang
锦和花园一室一厅近新东方和康师傅食品厂附近押一付一随时看房,1,1,48,整租,800,xingyang
海龙香槟大道(西区) 3室2厅2卫 1600.0元 电梯房 ,3,2,127,整租,1600,xingyang
中原西路一楼精装三房拎包入住带车位,3,2,95.1,整租,1000,xingyang
意墅蓝山 2室2厅1卫 1300.0元 电梯房 精装修,2,2,103,整租,1300,xingyang
正上豪布斯卡(荥阳) 1室1厅1卫 1200.0元 电梯房,1,1,50,整租,1200,xingyang
碧桂园芷兰湾小三室拎包入住出租,3,2,104,整租,1200,xingyang
锦和花园整租一室一厅近新东方和康师傅食品厂附近押一付一,1,1,48,整租,850,xingyang
西区 电梯双气 小三室 拎包入住 押一付三,3,2,90,整租,850,xingyang
紫域澜庭 2室1厅1卫 1000.0元 电梯房 精装修,2,1,60,整租,1000,xingyang
豫龙镇二十里铺主卧出租带卫生间大阳台 职业学院吾悦广场附近,4,1,30,合租,400,xingyang
郑上品 2室2厅1卫 1000.0元 电梯房 90.2平米,2,2,90.2,整租,1000,xingyang
嘉禾芙蓉园 1室0厅1卫 700.0元 电梯房 精装修,1,0,37,整租,700,xingyang
中央美域 2室2厅1卫 900.0元 电梯房 精装修,2,2,90,整租,1000,xingyang
光明索河湾一期 2室2厅1卫 1200.0元 电梯房 精装修,2,2,92,整租,1200,xingyang
锦和花园近康师傅厂新东方学院科技技术学院家电齐全领包入住月付,3,1,30,合租,400,xingyang
碧桂园龙城天悦 3室2厅1卫 1000.0元 电梯房 精装修,3,2,96.7,整租,1000,xingyang
海龙时代明都 1室0厅1卫 800.0元 电梯房,1,0,39,整租,800,xingyang
郡临天下(2期) 3室2厅1卫 1500.0元 电梯房,3,2,101,整租,1500,xingyang
鑫龙佳苑 2室2厅1卫 1000.0元 105.0平米,2,2,105,整租,1000,xingyang
大溪地11号院郑西一中陪读中原路临近地铁口,3,1,108,整租,1200,xingyang
郡临天下(2期) 2室2厅1卫 1500.0元 电梯房,2,2,78,整租,1500,xingyang
近新东方康师傅，无中介费！可月付！精装朝南独立阳台独卫可做饭,1,1,45,整租,850,xingyang
近吾悦广场，职业学院！无中介费！押一付一家具家电齐全拎包入住,4,1,25,合租,399,xingyang
永威溪樾 4室2厅2卫 2100.0元 电梯房 精装修,4,2,134.6,整租,2100,xingyang
荥阳八小 不用开暖气都超暖和 豪布斯卡对面 吾悦广场九百米,3,2,108,整租,1100,xingyang
碧桂园幸福里，暖气，物业，网络免费，拎包入住,3,2,35,合租,500,xingyang
新田城书香苑三室二厅二卫拎包入住出租,3,2,135,整租,1400,xingyang
吾悦广场附近 豪布斯卡旁边 精装一室家具家电齐全，拎包入住,1,1,40,整租,800,xingyang
出租荥阳市人民医院附近公寓标间日租月租可做月子房,1,0,25,整租,400,xingyang
500 首租 可配齐 新田城地铁口 大公寓 可以拎包入住,1,1,47,整租,550,xingyang
新田城书香苑二室二厅二卫拎包入住出租,2,2,96,整租,1300,xingyang
小区环境优美出行，方便地铁口高铁口高速口都在小区附近,3,1,107,整租,950,xingyang
华宸阳光公寓南院 3室2厅2卫 1150.0元 精装修,3,2,130,整租,1300,xingyang
清华大溪地15号院 2室2厅1卫 1100.0元 电梯房 ,2,2,74.1,整租,1250,xingyang
价格可谈！！简装2室，家具家电齐全，拎包入住，！！,2,2,93,整租,1000,xingyang
房东急租，家电可配，房间明亮，临近地铁，高楼层楼层！,2,2,88,整租,1200,xingyang
大溪地6号院 3室2厅2卫 精装修 地铁口 公园边,3,2,117,整租,1300,xingyang
豪装婚房 第一次出租 吾悦广场旁 郑职院对面 商隐路小学旁,3,2,124,整租,1300,xingyang
豪布斯卡旁 吾悦广场附近 精装1室拎包入住,1,1,40,整租,900,xingyang
碧桂园芷兰湾99平三室两厅一卫拎包入住出租,3,2,96,整租,1200,xingyang
大溪地九号院临地铁口中原路郑西一中附近,2,1,89,整租,1000,xingyang
大溪地6号院 3室2厅2卫 南北通透 116平 电梯房,3,2,116,整租,1180,xingyang
郑上品 2室1厅1卫 1000.0元 电梯房 59.8平米,2,1,59.8,整租,1000,xingyang
豫龙镇二十里铺职业技术学院吾悦广场附近单间出租带阳台拎包入住,3,1,28,合租,400,xingyang
大中原汽车城附近！信息工程职业学院旁！东润一期2房 拎包入住,2,2,97.8,整租,900,xingyang
温馨质感两房，郑西一中陪读，地铁口，精装，大中原汽车城,2,2,89,整租,1250,xingyang
天河名苑 3室2厅1卫 1200.0元 电梯房,3,2,140,整租,1200,xingyang
顶配一室 有宽带 三个月起租 吾悦广场900米 豪布斯卡楼上,1,1,40,整租,800,xingyang
地铁口精装三室 基本家电齐全 价格优惠 需要的快来,3,2,88.5,整租,1000,xingyang
800 押一付一 吾悦广场900米 豪布斯卡楼上 整租一室,1,1,40,整租,800,xingyang
清华大溪地15号院 2室1厅1卫 1050.0元 电梯房,2,1,78,整租,1050,xingyang
紫域澜庭 2室1厅1卫 1000.0元 电梯房 精装修,2,1,60,整租,1000,xingyang
一千！押一付一 第一次出租 新房子 高铁西站 地铁口审批大厅,3,2,96.7,整租,1000,xingyang
押一付一！！！ 豪布斯卡附近 海龙时代名都 拎包入住,1,0,35,整租,800,xingyang
自住婚房 第一次出租 大中原汽车城 地铁口 龙湖一中陪读,2,2,71,整租,800,xingyang
豪装婚房 第一次出租 大中原汽车城旁 龙湖一中陪读 地铁口,3,2,110,整租,1500,xingyang
吾悦广场附近 豪布斯卡旁边 精装一室家具家电齐全，拎包入住,1,1,40,整租,800,xingyang
新田城书香苑三室两厅二卫拎包入住出租,3,2,137.5,整租,1500,xingyang
碧桂园芷兰83平二室拎包入住出租,2,2,82,整租,1000,xingyang
鑫公寓 1室0厅1卫 900.0元 电梯房 精装修,1,0,40,整租,900,xingyang
新田城书香苑二室两厅一卫拎包入住出租,2,2,91,整租,1000,xingyang
一千包物业，三房两厅两卫，龙湖一中家长陪读！中原西路！地铁口,3,2,109,整租,1100,xingyang
吾悦广场旁，精装一室，押一付一，拎包入住,1,0,58,整租,650,xingyang
碧桂园龙城天悦 3室2厅2卫 1650.0元 电梯房 精装修,3,2,180,整租,1600,xingyang
锦和花园一室一厅近新东方和康师傅附近押一付一家电齐全随时看房,1,1,45,整租,800,xingyang
光明索河湾三期 3室2厅2卫 1300.0元 电梯房 精装修,3,2,122,整租,1300,xingyang
意墅蓝山 2室2厅1卫 1300.0元 电梯房 精装修,2,2,103,整租,1300,xingyang
光明索河湾一期 2室2厅1卫 1100.0元 电梯房 精装修,2,2,92,整租,1200,xingyang
近新东方！康师傅厂，无中介费押一付一家具家电齐全拎包入住男女,3,1,26,合租,400,xingyang
豫龙镇二十里铺合租单间出租，小区环境好，停车方便，楼下有生活,4,1,30,合租,420,xingyang
新房子 第一次出租 大中原汽车城附近 龙湖一中陪读 地铁口,3,2,110,整租,1100,xingyang
中原路地铁口 大溪地10号院 郑西一中陪读 中原汽车城上班,2,2,84,整租,1200,xingyang
有暖气 吾悦广场旁 豪布斯卡附近 少林客车旁 三房精装 龙城,3,2,106.8,整租,1000,xingyang
洋房 豪装婚房 第一次出租 商隐路小学旁 吾悦广场附近,3,2,111.4,整租,1600,xingyang
中央美域 2室2厅1卫 900.0元 电梯房 精装修,2,2,90,整租,1000,xingyang
翟寨社区 3室2厅2卫 1000.0元 电梯房 精装修,3,2,120,整租,1150,xingyang
大中原汽车城旁 信息工程学院旁 龙湖一中陪读 中原西路,3,2,89,整租,888,xingyang
东方盛典 1室1厅1卫 1000.0元 电梯房 精装修,1,1,49,整租,1000,xingyang
泰成悦府 3室2厅2卫 1500.0元 电梯房 精装修,3,2,128,整租,1500,xingyang
已保洁！少林客车旁 郑职院旁 可短租！吾悦广场旁！整租一室,1,1,58,整租,650,xingyang
金龙紫东郡 2室2厅1卫 电梯房 精装修 89平,2,2,89,整租,1300,xingyang
800 押一付一 吾悦广场900米 豪布斯卡楼上 整租一室,1,1,40,整租,800,xingyang
质感新房！第一次出租！郑西一中陪读 大中原汽车城 地铁口,2,2,95,整租,1000,xingyang
碧桂园龙城天悦，地铁口，三室双卫，新房出租，设施齐全，随时看,3,2,180,整租,1600,xingyang
意墅蓝山 2室2厅1卫 1300.0元 电梯房 精装修,2,2,103,整租,1300,xingyang
东方盛典 1室1厅1卫 1000.0元 电梯房 精装修,1,1,49,整租,1000,xingyang
荥阳豫龙镇二十里铺社区精装修朝南家电齐全民用水电拎包入住,4,1,30,合租,420,xingyang
九号院两室两厅一卫，精装拎包入住 电梯房民水民电 入住保洁,2,2,90,整租,980,xingyang
暖气免费 地铁口100米 中原西路行政审批大厅 吾悦广场旁,3,2,88,整租,1200,xingyang
